BugID,Severity,Source,Area,Engineer,ExpOfEng,NoOfReviewers,Reviewers,NoOfReviewComments,ReviewTime,CausedBreakage,BreakageSeverity
CSCab12345,Severe,DevTest,L3Fwding,Smith,3,2,"Joe, Santosh",4,2,No,NotApplicable
CSCab98767,Catastrophic,Deployment,L3Fwding,John,2,2,"Lisa, Mike",2,5,Yes,Severe
CSCin76343,Minor,UnitTest,System,Lisa,4,1,Mark,4,12,No,NotApplicable
CSCjh87212,Moderate,IntegrationTest,L3Fwding,Santosh,8,2,"Shalini, Rajeev",1,2,Yes,Catastrophic
CSCte45782,Catastrophic,DevTest,QoS,Rajeev,12,1,Alex,6,5,Yes,Minor
CSCok83457,Severe,Deployment,UI,Mark,3,5,"Joe, Santosh, Lisa, John, Mike",2,2,No,NotApplicable
CSCws87209,Minor,DevTest,Database,Mike,4,3,"Alex, Jaya, Mark",2,9,Yes,Minor
CSCqa12398,Moderate,UnitTest,L2,Shalini,5,2,"Santosh, Mark",3,8,Yes,Moderate
CSCud87324,Catastrophic,IntegrationTest,Routing,Alex,1,1,Jaya,5,3,No,NotApplicable
CSCer69237,Severe,DevTest,L2,Jaya,2,2,"Alex, John",8,12,Yes,Moderate
